log_group,@timestamp,@requestId,@duration,@billedDuration,@memorySize,@maxMemoryUsed,@initDuration,@logStream
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:42.307,87368bbd-503b-4655-9312-af10f09afa05,28.25,29,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:42.893,8996fb98-488a-4ac7-858c-a5705da3ef01,32.7,33,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:43.472,c3cf309b-afa2-4bc3-b5b9-5a6de5a16bfe,30.76,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:44.046,993b2f71-a8a2-44d3-9a31-70ebb4f2afae,31.91,32,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:44.623,dee4993a-1861-4e5e-b92d-c099fa9cd805,30.38,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:45.203,03450692-ad1b-4994-a58e-9142af0f6b38,30.67,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:45.785,2d7a640a-f5fb-4f7d-bcc3-2c5b91aa40a2,27.56,28,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:01.695,013b43dd-11b1-4491-b95a-16886a7d19af,69.9,70,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:01.974,e07367d8-3924-4bf9-b838-340f530b42dc,33.84,34,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:02.249,1870c106-6d45-4277-8780-f9cd658d186b,30.81,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:02.529,abc19d12-2f23-49ae-a041-8b045530f021,30.13,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:02.813,d454a2bd-34b0-4b76-82fa-88a5608aec9c,32.96,33,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:03.098,3dd1a1f1-f829-4fb6-9ef6-9cee862cd358,37.47,38,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:03.372,3d11de1e-bb3b-41ff-9ae3-7c38f4f27282,30.43,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:03.657,c7d9a86b-fde3-4c2b-a367-316b3872acb5,31,32,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:03.940,90b34e5c-c5c5-4121-8a94-d99b99ce3765,30.84,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:35:04.220,251f44fa-93f2-4878-a307-be358ccd33ad,32.24,33,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
